err_mag_from_ASAS,sigclipped_mag_bestap,time_BJDTDB
0.035,9.257,2451868.589294635
0.027,9.272,2451869.580674672
0.027,9.273,2451870.587974707
0.033,9.288,2451872.572334769
0.029,9.268,2451874.549854822
0.033,9.273,2451875.587024846
0.03,9.272,2451877.556174888
0.026,9.282,2451879.547994927
0.038,9.279,2451884.53451502
0.03,9.265,2451886.548075067
0.032,9.292,2451888.570695123
0.029,9.262,2451900.560875463
0.029,9.271,2451903.573095527
0.03,9.257,2451905.585455572
0.027,9.274000000000001,2451907.58821562
0.03,9.286000000000001,2451914.560745819
0.031,9.277000000000001,2451919.563165993
0.031,9.280000000000001,2451921.599746055
0.027,9.277000000000001,2451924.555456123
0.028,9.273,2451930.55328622
0.028,9.298,2451933.570686284
0.028,9.272,2451939.527116481
0.035,9.267000000000001,2451948.558736885
0.039,9.255,2452053.896910152
0.035,9.246,2452055.900980236
0.034,9.247,2452057.897840322
0.039,9.302000000000001,2452069.879140703
0.035,9.257,2452070.877450729
0.032,9.269,2452080.880681026
0.035,9.265,2452082.930011102
0.034,9.276,2452085.935901209
0.035,9.278,2452087.88158127
0.037,9.270000000000001,2452093.903271421
0.039,9.278,2452094.862881446
0.037,9.290000000000001,2452095.866251472
0.034,9.265,2452103.790401741
0.035,9.269,2452104.859731785
0.035,9.269,2452105.860241827
0.031,9.26,2452106.898671872
0.033,9.278,2452113.887562149
0.031,9.266,2452115.8067222
0.034,9.286000000000001,2452116.830092221
0.03,9.269,2452117.883052242
0.036,9.277000000000001,2452128.731252523
0.032,9.268,2452129.750692567
0.034,9.270000000000001,2452130.768112614
0.033,9.264000000000001,2452131.783012663
0.034,9.259,2452132.794502716
0.031,9.267000000000001,2452133.792172769
0.033,9.269,2452134.792362823
0.036,9.259,2452135.795372878
0.044,9.286000000000001,2452136.788892932
0.03,9.295,2452144.771683237
0.026,9.277000000000001,2452445.854522813
0.028,9.269,2452452.851212976
0.026,9.271,2452453.869183004
0.023,9.282,2452467.861543473
0.035,9.269,2452470.808163549
0.031,9.271,2452482.759663806
0.036,9.275,2452491.821664203
0.037,9.267000000000001,2452493.882234291
0.031,9.297,2452495.77184436
0.026,9.271,2452496.798234391
0.027,9.259,2452498.792594437
0.026,9.265,2452499.791204453
0.027,9.268,2452502.792044486
0.04,9.285,2452503.790024496
0.029,9.288,2452508.738794579
0.024,9.288,2452519.78201508
0.029,9.269,2452520.884795137
0.025,9.269,2452521.774865181
0.027,9.270000000000001,2452523.751125265
0.025,9.268,2452526.737635351
0.026,9.292,2452540.762925579
0.027,9.3,2452544.748245761
0.025,9.281,2452548.665495972
0.029,9.24,2452553.625746187
0.033,9.285,2452554.706516216
0.025,9.266,2452556.719336253
0.025,9.291,2452559.705706283
0.036,9.289,2452561.676186298
0.026,9.282,2452562.677176309
0.027,9.304,2452563.689356321
0.026,9.271,2452564.681436335
0.028,9.263,2452566.719386375
0.023,9.269,2452578.701866859
0.027,9.271,2452622.629017907
0.029,9.264000000000001,2452624.668127955
0.03,9.296000000000001,2452627.677388032
0.029,9.288,2452629.679198084
0.025,9.282,2452634.672128203
0.025,9.270000000000001,2452637.553128252
0.025,9.281,2452639.56542828
0.029,9.279,2452643.568268342
0.027,9.281,2452645.554318385
0.026,9.284,2452650.557828531
0.027,9.264000000000001,2452652.576178597
0.026,9.271,2452654.586388662
0.031,9.269,2452657.610018752
0.032,9.286000000000001,2452659.623998802
0.028,9.279,2452661.61812884
0.03,9.268,2452663.616878865
0.028,9.289,2452667.611218899
0.029,9.266,2452669.605398919
0.027,9.267000000000001,2452671.604408953
0.029,9.271,2452673.598859003
0.029,9.286000000000001,2452675.586579069
0.026,9.283000000000001,2452677.568349148
0.029,9.280000000000001,2452679.556219234
0.028,9.274000000000001,2452681.562269324
0.031,9.270000000000001,2452686.546009525
0.033,9.277000000000001,2452688.548469581
0.029,9.262,2452690.547309618
0.028,9.297,2452692.544629637
0.028,9.264000000000001,2452695.518539653
0.027,9.276,2452697.522459668
0.027,9.279,2452700.510219718
0.028,9.284,2452702.509069775
0.029,9.282,2452704.504929851
0.029,9.271,2452706.503319941
0.026,9.270000000000001,2452786.90683208
0.028,9.280000000000001,2452809.885562533
0.033,9.263,2452815.913222655
0.032,9.274000000000001,2452819.93442274
0.034,9.278,2452830.804492885
0.031,9.295,2452832.859032899
0.028,9.257,2452838.846833005
0.026,9.265,2452844.921223191
0.028,9.259,2452851.911243359
0.026,9.278,2452854.784513386
0.028,9.264000000000001,2452858.793323393
0.026,9.278,2452860.791853399
0.031,9.274000000000001,2452862.787773417
0.029,9.270000000000001,2452874.789743822
0.033,9.265,2452876.775883894
0.028,9.292,2452883.768584012
0.028,9.279,2452885.74251401
0.034,9.254000000000001,2452888.739094005
0.03,9.278,2452892.787934044
0.028,9.277000000000001,2452896.716244157
0.03,9.265,2452898.724844238
0.031,9.269,2452900.713544325
0.026,9.276,2452903.799584461
0.027,9.281,2452906.699454568
0.03,9.267000000000001,2452910.765934645
0.029,9.282,2452915.710464645
0.027,9.275,2452917.651034644
0.028,9.264000000000001,2452922.683534699
0.03,9.278,2452924.748964753
0.028,9.264000000000001,2452927.692434852
0.027,9.268,2452929.698384931
0.026,9.297,2452931.705795012
0.03,9.257,2452933.694375087
0.025,9.261000000000001,2452935.689205148
0.034,9.265,2452939.625345213
